valid report 1: speed 0.211710, force 12.524524 N, moment 3.066718 Nm, torque -0.269534 Nm, maximum inequality 249.490477, feasible false
valid report 10: speed 0.211710, force 12.488556 N, moment 3.085895 Nm, torque -0.269534 Nm, maximum inequality 248.771119, feasible false
valid report 20: speed 0.211710, force 12.488557 N, moment 3.085908 Nm, torque -0.269534 Nm, maximum inequality 248.771136, feasible false
valid report 30: speed 0.211710, force 12.488557 N, moment 3.085908 Nm, torque -0.269328 Nm, maximum inequality 248.771136, feasible false
valid report 40: speed 0.211710, force 12.488563 N, moment 3.085890 Nm, torque -0.269534 Nm, maximum inequality 248.771261, feasible false
valid report 50: speed 0.211710, force 12.487232 N, moment 3.085869 Nm, torque -0.269534 Nm, maximum inequality 248.744637, feasible false
valid report 60: speed 0.211710, force 12.488557 N, moment 3.085908 Nm, torque -0.269534 Nm, maximum inequality 248.771136, feasible false
valid report 70: speed 0.211710, force 12.488527 N, moment 3.085494 Nm, torque -0.269534 Nm, maximum inequality 248.770541, feasible false
valid report 80: speed 0.211710, force 12.516489 N, moment 3.085843 Nm, torque -0.269534 Nm, maximum inequality 249.329771, feasible false
valid report 90: speed 0.211710, force 12.488548 N, moment 3.085907 Nm, torque -0.269536 Nm, maximum inequality 248.770956, feasible false
valid report 100: speed 0.211710, force 12.488557 N, moment 3.085908 Nm, torque -0.269583 Nm, maximum inequality 248.771136, feasible false
valid report 110: speed 0.211710, force 12.488557 N, moment 3.085908 Nm, torque -0.269533 Nm, maximum inequality 248.771136, feasible false
valid report 120: speed 0.211710, force 12.488557 N, moment 3.085908 Nm, torque -0.269241 Nm, maximum inequality 248.771136, feasible false
valid report 130: speed 0.211710, force 12.488557 N, moment 3.085908 Nm, torque -0.269534 Nm, maximum inequality 248.771136, feasible false
valid report 140: speed 0.211710, force 12.488557 N, moment 3.085908 Nm, torque -0.269534 Nm, maximum inequality 248.771136, feasible false
valid report 150: speed 0.211710, force 12.488553 N, moment 3.085897 Nm, torque -0.269534 Nm, maximum inequality 248.771068, feasible false
valid report 160: speed 0.211628, force 12.464875 N, moment 3.080045 Nm, torque -0.269015 Nm, maximum inequality 248.297500, feasible false
valid report 170: speed 0.211628, force 12.464869 N, moment 3.079843 Nm, torque -0.269015 Nm, maximum inequality 248.297387, feasible false
valid report 180: speed 0.211628, force 12.464877 N, moment 3.080035 Nm, torque -0.269402 Nm, maximum inequality 248.297549, feasible false
valid report 190: speed 0.211628, force 12.464875 N, moment 3.080045 Nm, torque -0.269276 Nm, maximum inequality 248.297500, feasible false
valid report 200: speed 0.211628, force 12.464875 N, moment 3.080045 Nm, torque -0.269015 Nm, maximum inequality 248.297500, feasible false
valid report 210: speed 0.211628, force 12.464868 N, moment 3.080040 Nm, torque -0.269015 Nm, maximum inequality 248.297352, feasible false
valid report 220: speed 0.211628, force 12.464882 N, moment 3.080044 Nm, torque -0.269015 Nm, maximum inequality 248.297645, feasible false
valid report 230: speed 0.211628, force 12.464880 N, moment 3.080056 Nm, torque -0.269015 Nm, maximum inequality 248.297605, feasible false
valid report 240: speed 0.211628, force 12.464847 N, moment 3.080044 Nm, torque -0.269015 Nm, maximum inequality 248.296939, feasible false
valid report 250: speed 0.211628, force 12.464955 N, moment 3.080062 Nm, torque -0.269013 Nm, maximum inequality 248.299101, feasible false
valid report 260: speed 0.211628, force 12.464875 N, moment 3.080045 Nm, torque -0.268202 Nm, maximum inequality 248.297500, feasible false
valid report 270: speed 0.211628, force 12.464875 N, moment 3.080045 Nm, torque -0.269006 Nm, maximum inequality 248.297500, feasible false
valid report 280: speed 0.211628, force 12.464875 N, moment 3.080045 Nm, torque -0.269009 Nm, maximum inequality 248.297500, feasible false
valid report 290: speed 0.211628, force 12.464875 N, moment 3.080045 Nm, torque -0.269014 Nm, maximum inequality 248.297500, feasible false
valid report 300: speed 0.211628, force 12.464875 N, moment 3.080045 Nm, torque -0.269015 Nm, maximum inequality 248.297500, feasible false
valid report 310: speed 0.211628, force 12.464907 N, moment 3.080239 Nm, torque -0.269015 Nm, maximum inequality 248.298137, feasible false
